Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name
"genetic_diagnosis",generatedcrf,,dropdown,"Genetic diagnosis","1389, International classification of mutations (HGVS) | data_1153, Online Mendelian Inheritance in Man (OMIM) | data_2298, HUGO Gene Nomenclature Committee (HGNC)",,,,,,,,,,
"international_classification_of_mutations_(hgvs)",generatedcrf,,text,"International classification of mutations (HGVS)",,,,,,,,,,,
"hugo_gene_nomenclature_committee_(hgnc)",generatedcrf,,dropdown,"HUGO Gene Nomenclature Committee (HGNC)","175, ACVRL1 | 391, AKT1 | 1097, BRAF | 1573, KRIT1 | 3349, ENG | 3395, EPHB4 | 3767, FLT4 | 3796, FOS | 3797, FOSB | 3801, FOXC2 | 4171, GATA2 | 4379, GNA11 | 4382, GNA14 | 4390, GNAQ | 5382, IDH1 | 5383, IDH2 | 6388, KIF11 | 6770, SMAD4 | 6840, MAP2K1 | 6855, MAP3K3 | 7553, MYC | 8761, PDCD10 | 8975, PIK3CA | 9588, PTEN | 9647, PTPN14 | 9871, RASA1 | 11194, SOX18 | 11724, TEK (TIE2) | 11752, TFE3 | 12682, VEGFC | 14373, Glomulin | 16950, STAMBP | 17233, ELMO2 | 17494, GJC2 | 18806, CAMTA1 | 21708, Malcavernin | 29426, CCBE1 | 681941, VEGFR3 | NPM11, NPM11 | RAS, RAS",,,,,,,,,,
"international_classification_of_functioning,_disability_and_health",generatedcrf,,dropdown,"International Classification of Functioning, Disability and Health","C121522, WHODAS Questionnaire | C130322, PedSQL Questionnaire",,,,,,,,,,
"online_mendelian_inheritance_in_man_(omim)",generatedcrf,,text,"Online Mendelian Inheritance in Man (OMIM)",,,,,,,,,,,
"patient's_status",generatedcrf,,dropdown,"Patient's status","0001421, Alive | 0001422, Dead | 399307001, Lost in follow-up | C4291647, Opted-out",,,,,,,,,,
"pedsql_score",generatedcrf,,text,"PedSQL Score",,,,,,,,,,,
"phenotype_(hpo)",generatedcrf,,text,"Phenotype (HPO)",,,,,,,,,,,
"eupid_pseudonym",generatedcrf,,text,"EUPID Pseudonym",,,,,,,,,,,
"rare_disease's_diagnosis_(orpha)",generatedcrf,,dropdown,"Rare disease's diagnosis (Orpha)","73, Gorham-Stout disease | 109, Bannayan-Riley-Ruvalcaba syndrome | 744, Proteus syndrome | 774, Hereditary hemorrhagic telangiectasia | 1059, Blue rubber bleb nevus | 1063, Tufted angioma | 1556, Cutis marmorata telangiectatica congenita | 2122, Kaposiform hemangioendothelioma | 2123, Diffuse neonatal hemangiomatosis | 2136, Hennekam syndrome | 2330, Kasabach-Merritt syndrome | 2415, Rare lymphatic malformation | 2451, Mucocutaneous venous malformations | 3205, Sturge-Weber syndrome | 33001, Lymphedema-distichiasis syndrome | 33276, Kaposi sarcoma | 42775, PHACE syndrome | 53721, Cobb syndrome | 60040, Megalencephaly-capillary malformation-polymicrogyria syndrome | 69735, Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome | 75508, Angioosteohypotrophic syndrome | 77240, Primary lymphedema | 79452, Milroy disease | 79489, Macrocystic lymphatic malformation | 79490, Microcystic lymphatic malformation | 83454, Glomuvenous malformation | 83628, LUMBAR syndrome | 90307, Parkes Weber syndrome | 90308, Klippel-Trénaunay syndrome | 98731, Congenital arteriovenous fistula | 99141, Lymphedema-posterior choanal atresia syndrome | 137667, Capillary malformation-arteriovenous malformation | 140944, CLOVES syndrome | 141179, Non-involuting congenital hemangioma | 141184, Rapidly involuting congenital hemangioma | 141209, Diffuse lymphatic malformation | 157791, Epithelioid hemangioendothelioma | 163634, Maffucci syndrome | 168984, CLAPO syndrome | 210584, Spindle cell hemangioma | 210589, Infantile hemangioma of rare localization | 211237, Rare vascular tumor | 211247, Rare capillary malformation | 211252, Rare venous malformation | 211266, Rare arteriovenous malformation | 211277, Complex vascular malformation with associated anomalies | 221061, Familial cerebral cavernous malformation | 263413, Angiosarcoma | 294016, Microcephaly-capillary malformation syndrome | 306498, PTEN hamartoma tumor syndrome | 458763, Retiform hemangioendothelioma | 458768, Primary intralymphatic angioendothelioma | 458775, Congenital hemangioma | 458785, Partially involuting congenital hemangioma | 458792, Mixed cystic lymphatic malformation | 458827, Vascular tumor with associated anomalies | 458833, Common cystic lymphatic malformation | 458837, Rare combined vascular malformation | 458841, Primary lymphedema with associated anomalies | 458844, Rare vascular malformation of major vessels | 459530, Genetic primary lymphedema | 464318, Verrucous hemangioma | 464321, Multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome",,,,,,,,,,
"sex",generatedcrf,,dropdown,"Sex","394743007, Gender unknown | 394744001, Gender unspecified | 703117000, Masculine gender | 703118005, Feminine gender",,,,,,,,,,
"undiagnosed_case",generatedcrf,,dropdown,"Undiagnosed case","0000001, Phenotype (HPO) | 001389, Genotype (HGVS)",,,,,,,,,,
"whodas_score",generatedcrf,,text,"WHODAS Score",,,,,,,,,,,
